id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
14577,2 tablespoons flaxseed meal,2905,tablespoon,flaxseed meal,2,2 tablespoons flaxseed meal,,
14578,2 cups all-purpose flour,2905,cup,all-purpose flour,2,2 cups all-purpose flour,,
14579,2 tablespoons coconut sugar,2905,tablespoon,coconut sugar,2,2 tablespoons coconut sugar,,
14580,1 tablespoon baking powder,2905,tablespoon,baking powder,1,1 tablespoon baking powder,,
14581,1 tablespoon ground cinnamon,2905,tablespoon,cinnamon,1,1 tablespoon ground cinnamon,,
14582,2 teaspoons baking soda,2905,teaspoon,baking soda,2,2 teaspoons baking soda,,
14583,1 teaspoon salt,2905,teaspoon,salt,1,1 teaspoon salt,,
14584,1 cup pumpkin puree,2905,cup,pumpkin puree,1,1 cup pumpkin puree,,
14585,2 tablespoons coconut oil,2905,tablespoon,coconut oil,2,2 tablespoons coconut oil,,
14586,¼ cup toasted chopped pecans,2905,cup,pecans,4-Jan,1/4 cup toasted chopped pecans,,
14587,"3  carrots, cut into bite-size pieces",631,,,,"3  carrots, cut into bite-size pieces",,
14588,"1 small onion, cut into bite-size pieces",631,,onion,1,"1 small onion, cut into bite-size pieces",,
14589,3 tablespoons water,631,tablespoon,water,3,3 tablespoons water,,
14590,¼ cup vegetable oil,631,cup,vegetable oil,4-Jan,1/4 cup vegetable oil,,
14591,½ cup all-purpose flour,631,cup,all-purpose flour,2-Jan,1/2 cup all-purpose flour,,
14592,2 tablespoons all-purpose flour,631,tablespoon,all-purpose flour,2,2 tablespoons all-purpose flour,,
14593,2 tablespoons red curry powder,631,tablespoon,red curry powder,2,2 tablespoons red curry powder,,
14594,5 cups hot vegetable stock,631,cup,vegetable stock,5,5 cups hot vegetable stock,,
14595,¼ cup soy sauce,631,cup,soy sauce,4-Jan,1/4 cup soy sauce,,
14596,2 teaspoons maple syrup,631,teaspoon,maple syrup,2,2 teaspoons maple syrup,,
14597,"8 ounces udon noodles, or more to taste",631,ounce,udon noodles,8,"8 ounces udon noodles, or more to taste",,
14598,4 large sweet potatoes,2749,,sweet potatoes,4,4 large sweet potatoes,,
14599,"1 teaspoon vegetable oil, or as needed",2749,teaspoon,vegetable oil,1,"1 teaspoon vegetable oil, or as needed",,
14600,"2 tablespoons vegan margarine (such as Earth Balance®), melted",2749,,,,"2 tablespoons vegan margarine (such as Earth Balance®), melted",,
14601,⅓ cup maple syrup,2749,cup,maple syrup,,1/3 cup maple syrup,,
14602,"2 large apples - peeled, cored, and thinly sliced",2749,,apples,2,"2 large apples - peeled, cored, and thinly sliced",,
14603,"1 pinch cinnamon, or to taste",2749,pinch,cinnamon,1,"1 pinch cinnamon, or to taste",,
14604,"1 pinch ground cloves, or to taste",2749,pinch,ground cloves,1,"1 pinch ground cloves, or to taste",,
14605,½ cup apple juice,2749,cup,apple juice,2-Jan,1/2 cup apple juice,,
14606,2 ½ cups cremini mushrooms,1253,,,,2 1/2 cups cremini mushrooms,,
14607,1 ½ cups oyster mushrooms,1253,,,,1 1/2 cups oyster mushrooms,,
14608,½ cup brown champignon mushrooms,1253,cup,brown champignon mushrooms,2-Jan,1/2 cup brown champignon mushrooms,,
14609,"2 cups clamshell (shimeji) mushrooms, trimmed",1253,cup,clamshell mushrooms,2,"2 cups clamshell (shimeji) mushrooms, trimmed",,
14610,"1 small onion, chopped",1253,,onion,1,"1 small onion, chopped",,
14611,"1  shallot, minced",1253,,,,"1  shallot, minced",,
14612,"1 (1 inch) piece fresh ginger, grated",1253,,(1 inch) piece fresh ginger,1,"1 (1 inch) piece fresh ginger, grated",,
14613,"1 clove garlic, minced",1253,clove,garlic,1,"1 clove garlic, minced",,
14614,1 teaspoon vegetable oil,1253,teaspoon,vegetable oil,1,1 teaspoon vegetable oil,,
14615,½ cup low-sodium vegan vegetable broth,1253,cup,vegetable broth,2-Jan,1/2 cup low-sodium vegan vegetable broth,,
14616,½ cup reduced-sodium tamari,1253,cup,tamari,2-Jan,1/2 cup reduced-sodium tamari,,
14617,"¼ cup Asian pear, peeled and shredded",1253,cup,Asian pear,4-Jan,"1/4 cup Asian pear, peeled and shredded",,
14618,3 tablespoons brown rice syrup,1253,tablespoon,brown rice syrup,3,3 tablespoons brown rice syrup,,
14619,2 tablespoons sesame oil,1253,tablespoon,sesame oil,2,2 tablespoons sesame oil,,
14620,"2 tablespoons gochujang (Korean hot pepper paste), or to taste",1253,tablespoon,gochujang,2,"2 tablespoons gochujang (Korean hot pepper paste), or to taste",,
14621,1 tablespoon Chinese rice wine vinegar,1253,tablespoon,Chinese rice wine vinegar,1,1 tablespoon Chinese rice wine vinegar,,
14622,2 tablespoons cool water,1253,tablespoon,water,2,2 tablespoons cool water,,
14623,2 tablespoons cornstarch,1253,tablespoon,cornstarch,2,2 tablespoons cornstarch,,
14624,"2  green onions, chopped",1253,,,,"2  green onions, chopped",,
14625,1 tablespoon black sesame seeds,1253,tablespoon,black sesame seeds,1,1 tablespoon black sesame seeds,,
14626,1 tablespoon sesame seeds,1253,tablespoon,sesame seeds,1,1 tablespoon sesame seeds,,
14627,3 tablespoons extra virgin olive oil,1455,tablespoon,extra virgin olive oil,3,3 tablespoons extra virgin olive oil,,
14628,"3 cloves garlic, sliced",1455,clove,garlic,3,"3 cloves garlic, sliced",,
14629,1 (16 ounce) can crushed tomatoes,1455,,tomatoes,1,1 (16 ounce) can crushed tomatoes,,
14630,½ cup red wine,1455,cup,red wine,2-Jan,1/2 cup red wine,,
14631,½ cup water,1455,cup,water,2-Jan,1/2 cup water,,
14632,1 teaspoon salt,1455,teaspoon,salt,1,1 teaspoon salt,,
14633,1 teaspoon white sugar,1455,teaspoon,white sugar,1,1 teaspoon white sugar,,
14634,"6 leaves fresh basil leaves, torn",1455,,basil leaves,6,"6 leaves fresh basil leaves, torn",,
14635,"1  acorn squash, halved and seeded",1471,,,,"1  acorn squash, halved and seeded",,
14636,"1 large yam, peeled and cut into 2-inch pieces",1471,,yam,1,"1 large yam, peeled and cut into 2-inch pieces",,
14637,1 cup balsamic vinegar,1471,cup,balsamic vinegar,1,1 cup balsamic vinegar,,
14638,½ cup apricot jam,1471,cup,apricot jam,2-Jan,1/2 cup apricot jam,,
14639,¼ cup pomegranate juice  (Optional),1471,,,,1/4 cup pomegranate juice  (Optional),,
14640,"1 (12 ounce) jar roasted red and yellow peppers, drained and chopped",1471,,jar roasted red and yellow peppers,1,"1 (12 ounce) jar roasted red and yellow peppers, drained and chopped",,
14641,2 tablespoons minced garlic,1471,tablespoon,garlic,2,2 tablespoons minced garlic,,
14642,2 tablespoons minced fresh ginger root,1471,tablespoon,ginger root,2,2 tablespoons minced fresh ginger root,,
14643,½ teaspoon Chinese five-spice powder,1471,teaspoon,five-spice powder,2-Jan,1/2 teaspoon Chinese five-spice powder,,
14644,2 tablespoons white rice flour,1471,tablespoon,white rice flour,2,2 tablespoons white rice flour,,
14645,1 (14 ounce) can coconut milk,1471,,coconut milk,1,1 (14 ounce) can coconut milk,,
14646,¼ cup chopped walnuts,1471,cup,walnuts,4-Jan,1/4 cup chopped walnuts,,
14647,¼ cup pomegranate seeds,1471,cup,pomegranate seeds,4-Jan,1/4 cup pomegranate seeds,,
14648,3 leaves fresh basil,1471,,basil,3,3 leaves fresh basil,,
14649,1 (10.5 ounce) package firm silken tofu,2412,,(10.5 ounce) package firm silken tofu,1,1 (10.5 ounce) package firm silken tofu,,
14650,1 ½ teaspoons distilled white vinegar,2412,,,,1 1/2 teaspoons distilled white vinegar,,
14651,1 teaspoon salt,2412,teaspoon,salt,1,1 teaspoon salt,,
14652,½ teaspoon dry mustard,2412,teaspoon,dry mustard,2-Jan,1/2 teaspoon dry mustard,,
14653,1 teaspoon white sugar,2412,teaspoon,white sugar,1,1 teaspoon white sugar,,
14654,"2 (14.5 ounce) cans green beans, drained",1001,,green beans,2,"2 (14.5 ounce) cans green beans, drained",,
14655,"1 (10 ounce) can mung bean sprouts, drained",1001,,(10 ounce) can mung bean sprouts,1,"1 (10 ounce) can mung bean sprouts, drained",,
14656,"1  red onion, sliced",1001,,,,"1  red onion, sliced",,
14657,½ cup vegetable oil,1001,cup,vegetable oil,2-Jan,1/2 cup vegetable oil,,
14658,½ cup white sugar,1001,cup,white sugar,2-Jan,1/2 cup white sugar,,
14659,½ cup distilled white vinegar,1001,cup,white vinegar,2-Jan,1/2 cup distilled white vinegar,,
14660,1 teaspoon garlic powder,1001,teaspoon,garlic powder,1,1 teaspoon garlic powder,,
14661,1 cup soy milk,2715,cup,soy milk,1,1 cup soy milk,,
14662,2 tablespoons all-purpose flour,2715,tablespoon,all-purpose flour,2,2 tablespoons all-purpose flour,,
14663,1 tablespoon nutritional yeast,2715,tablespoon,nutritional yeast,1,1 tablespoon nutritional yeast,,
14664,1 teaspoon raw sugar,2715,teaspoon,sugar,1,1 teaspoon raw sugar,,
14665,1 teaspoon vanilla extract,2715,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
14666,⅓ teaspoon ground cinnamon,2715,teaspoon,cinnamon,,1/3 teaspoon ground cinnamon,,
14667,4 slices bread,2715,slice,bread,4,4 slices bread,,
14668,2 cups sliced fresh peaches,1697,cup,peaches,2,2 cups sliced fresh peaches,,
14669,"1 cup fresh strawberries, hulled",1697,cup,strawberries,1,"1 cup fresh strawberries, hulled",,
14670,1 cup fresh orange juice,1697,cup,orange juice,1,1 cup fresh orange juice,,
14671,¼ cup brown sugar,1697,cup,brown sugar,4-Jan,1/4 cup brown sugar,,
14672,"3 medium tomatoes, chopped",2431,,tomatoes,3,"3 medium tomatoes, chopped",,
14673,"1 large cucumber, seeded and chopped",2431,,cucumber,1,"1 large cucumber, seeded and chopped",,
14674,"1 medium green bell pepper, chopped",2431,,green bell pepper,1,"1 medium green bell pepper, chopped",,
14675,"1 stalk celery, thinly sliced",2431,stalk,celery,1,"1 stalk celery, thinly sliced",,
14676,3 tablespoons distilled white vinegar,2431,tablespoon,white vinegar,3,3 tablespoons distilled white vinegar,,
14677,1 tablespoon white sugar,2431,tablespoon,white sugar,1,1 tablespoon white sugar,,
14678,½ teaspoon salt,2431,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
14679,freshly ground black pepper to taste,2431,,black pepper,,freshly ground black pepper to taste,,
14680,"1  carrot, sliced",1498,,,,"1  carrot, sliced",,
14681,1 (15 ounce) can kidney beans,1498,ounce can,kidney beans,1,1 (15 ounce) can kidney beans,,
14682,½ cup chopped green bell pepper,1498,cup,green bell pepper,2-Jan,1/2 cup chopped green bell pepper,,
14683,½ cup chopped onion,1498,cup,onion,2-Jan,1/2 cup chopped onion,,
14684,2 cups salsa,1498,cup,salsa,2,2 cups salsa,,
14685,1 cup dried bread crumbs,1498,cup,bread crumbs,1,1 cup dried bread crumbs,,
14686,½ cup whole wheat flour,1498,cup,whole wheat flour,2-Jan,1/2 cup whole wheat flour,,
14687,½ teaspoon ground black pepper,1498,teaspoon,black pepper,2-Jan,1/2 teaspoon ground black pepper,,
14688,salt to taste,1498,,salt,,salt to taste,,
14689,1 pinch chili powder,1498,pinch,chili powder,1,1 pinch chili powder,,
14690,1 (10 ounce) package frozen edamame in the pod,1246,,(10 ounce) package frozen edamame in the pod,1,1 (10 ounce) package frozen edamame in the pod,,
14691,1 cup water,1246,cup,water,1,1 cup water,,
14692,1 tablespoon toasted sesame oil,1246,tablespoon,sesame oil,1,1 tablespoon toasted sesame oil,,
14693,2 teaspoons Sriracha sauce,1246,teaspoon,Sriracha sauce,2,2 teaspoons Sriracha sauce,,
14694,1 teaspoon minced garlic,1246,teaspoon,garlic,1,1 teaspoon minced garlic,,
14695,1 teaspoon soy sauce,1246,teaspoon,soy sauce,1,1 teaspoon soy sauce,,
14696,2 pounds red seedless grapes,1947,pound,grapes,2,2 pounds red seedless grapes,,
14697,"1 (16 ounce) package peeled, baby carrots",1947,,"(16 ounce) package peeled, baby carrots",1,"1 (16 ounce) package peeled, baby carrots",,
14698,"1 medium red onion, cut into wedges",1947,,red onion,1,"1 medium red onion, cut into wedges",,
14699,2 tablespoons olive oil,1947,tablespoon,olive oil,2,2 tablespoons olive oil,,
14700,1 teaspoon ground cumin,1947,teaspoon,cumin,1,1 teaspoon ground cumin,,
14701,½ cup raw cashews,2723,cup,raw cashews,2-Jan,1/2 cup raw cashews,,
14702,1 ½ cups filtered water,2723,,,,1 1/2 cups filtered water,,
14703,"4 tablespoons agave nectar, or to taste",2723,tablespoon,agave nectar,4,"4 tablespoons agave nectar, or to taste",,
14704,1 tablespoon coconut oil,2723,tablespoon,coconut oil,1,1 tablespoon coconut oil,,
14705,1 tablespoon unsweetened soymilk or other unsweetened non-dairy milk,2723,tablespoon,unsweetened soymilk or other unsweetened non-dairy milk,1,1 tablespoon unsweetened soymilk or other unsweetened non-dairy milk,,
14706,1 teaspoon vanilla extract,2723,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
14707,2 teaspoons lemon juice,2723,teaspoon,lemon juice,2,2 teaspoons lemon juice,,
14708,1 teaspoon spirulina powder,2723,teaspoon,spirulina powder,1,1 teaspoon spirulina powder,,
14709,1 teaspoon beet powder,2723,teaspoon,beet powder,1,1 teaspoon beet powder,,
14710,1 teaspoon ground turmeric,2723,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
14711,½ cup hulled millet,1610,cup,millet,2-Jan,1/2 cup hulled millet,,
14712,2 tablespoons slivered almonds,1610,tablespoon,almonds,2,2 tablespoons slivered almonds,,
14713,2 tablespoons pumpkin seeds,1610,tablespoon,pumpkin seeds,2,2 tablespoons pumpkin seeds,,
14714,2 tablespoons shredded unsweetened coconut,1610,tablespoon,coconut,2,2 tablespoons shredded unsweetened coconut,,
14715,1 tablespoon flax seeds,1610,tablespoon,flax seeds,1,1 tablespoon flax seeds,,
14716,"2 cups unsweetened almond milk, divided",1610,cup,almond milk,2,"2 cups unsweetened almond milk, divided",,
14717,"3  Medjool dates, pitted and diced",1610,,,,"3  Medjool dates, pitted and diced",,
14718,½ teaspoon ground cinnamon,1610,teaspoon,cinnamon,2-Jan,1/2 teaspoon ground cinnamon,,
14719,¼ teaspoon ground nutmeg,1610,teaspoon,nutmeg,4-Jan,1/4 teaspoon ground nutmeg,,
14720,"2 heads broccoli, separated into florets",1942,head,broccoli,2,"2 heads broccoli, separated into florets",,
14721,2 teaspoons extra-virgin olive oil,1942,teaspoon,olive oil,2,2 teaspoons extra-virgin olive oil,,
14722,1 teaspoon sea salt,1942,teaspoon,sea salt,1,1 teaspoon sea salt,,
14723,½ teaspoon ground black pepper,1942,teaspoon,black pepper,2-Jan,1/2 teaspoon ground black pepper,,
14724,"1 clove garlic, minced",1942,clove,garlic,1,"1 clove garlic, minced",,
14725,½ teaspoon lemon juice,1942,teaspoon,lemon juice,2-Jan,1/2 teaspoon lemon juice,,
14726,"2 pounds baby Yukon Gold potatoes, unpeeled",2083,pound,baby Yukon Gold potatoes,2,"2 pounds baby Yukon Gold potatoes, unpeeled",,
14727,salt to taste,2083,,salt,,salt to taste,,
14728,1  bay leaf,2083,,,,1  bay leaf,,
14729,¼ cup extra-virgin olive oil,2083,cup,olive oil,4-Jan,1/4 cup extra-virgin olive oil,,
14730,1 tablespoon white wine vinegar,2083,tablespoon,white wine vinegar,1,1 tablespoon white wine vinegar,,
14731,1 teaspoon Dijon mustard,2083,teaspoon,Dijon mustard,1,1 teaspoon Dijon mustard,,
14732,salt and ground black pepper to taste,2083,,salt and black pepper,,salt and ground black pepper to taste,,
14733,¼ cup finely chopped shallots,2083,cup,shallots,4-Jan,1/4 cup finely chopped shallots,,
14734,2 tablespoons finely chopped flat-leaf parsley,2083,tablespoon,flat-leaf parsley,2,2 tablespoons finely chopped flat-leaf parsley,,
14735,3 tablespoons olive oil,2225,tablespoon,olive oil,3,3 tablespoons olive oil,,
14736,"1 large white onion, diced",2225,,white onion,1,"1 large white onion, diced",,
14737,1 tablespoon ground cinnamon,2225,tablespoon,cinnamon,1,1 tablespoon ground cinnamon,,
14738,2 tablespoons chili powder,2225,tablespoon,chili powder,2,2 tablespoons chili powder,,
14739,4 cloves crushed garlic,2225,clove,garlic,4,4 cloves crushed garlic,,
14740,"1 tablespoon cumin seeds, toasted",2225,tablespoon,cumin seeds,1,"1 tablespoon cumin seeds, toasted",,
14741,2 tablespoons fresh lemon juice,2225,tablespoon,lemon juice,2,2 tablespoons fresh lemon juice,,
14742,"4 large tomatoes - peeled, seeded, and coarsely chopped",2225,,tomatoes,4,"4 large tomatoes - peeled, seeded, and coarsely chopped",,
14743,"1 medium acorn squash, peeled and diced",2225,,acorn squash,1,"1 medium acorn squash, peeled and diced",,
14744,"1 cup pinto beans, cooked or canned",2225,cup,pinto beans,1,"1 cup pinto beans, cooked or canned",,
14745,1 cup water,2225,cup,water,1,1 cup water,,
14746,salt and pepper to taste,2225,,salt and pepper,,salt and pepper to taste,,
14747,"6 medium beets, scrubbed and ends trimmed",703,,beets,6,"6 medium beets, scrubbed and ends trimmed",,
14748,"½ teaspoon salt, or more to taste",703,teaspoon,salt,2-Jan,"1/2 teaspoon salt, or more to taste",,
14749,1 tablespoon olive oil,703,tablespoon,olive oil,1,1 tablespoon olive oil,,
14750,¼ teaspoon garlic powder,703,teaspoon,garlic powder,4-Jan,1/4 teaspoon garlic powder,,
14751,⅛ teaspoon cracked black pepper,703,teaspoon,black pepper,,1/8 teaspoon cracked black pepper,,
14752,¼ teaspoon dill,703,teaspoon,dill,4-Jan,1/4 teaspoon dill,,
14753,½ (10 ounce) package frozen peas,1434,,(10 ounce) package frozen peas,2-Jan,1/2 (10 ounce) package frozen peas,,
14754,"5  red potatoes, scrubbed and cubed",1434,,,,"5  red potatoes, scrubbed and cubed",,
14755,"¼ cup soy milk, or more as needed",1434,cup,soy milk,4-Jan,"1/4 cup soy milk, or more as needed",,
14756,2 tablespoons thinly sliced green onion,1434,tablespoon,green onion,2,2 tablespoons thinly sliced green onion,,
14757,2 tablespoons curry powder,1434,tablespoon,curry powder,2,2 tablespoons curry powder,,
14758,1 tablespoon vegan margarine,1434,tablespoon,vegan margarine,1,1 tablespoon vegan margarine,,
14759,2 teaspoons ground turmeric,1434,teaspoon,turmeric,2,2 teaspoons ground turmeric,,
14760,1 ½ teaspoons ground cumin,1434,,,,1 1/2 teaspoons ground cumin,,
14761,1 teaspoon salt,1434,teaspoon,salt,1,1 teaspoon salt,,
14762,½ teaspoon garlic powder,1434,teaspoon,garlic powder,2-Jan,1/2 teaspoon garlic powder,,
14763,⅛ teaspoon ground coriander,1434,teaspoon,coriander,,1/8 teaspoon ground coriander,,
14764,freshly ground black pepper to taste,1434,,black pepper,,freshly ground black pepper to taste,,
14765,¼ cup chopped fresh cilantro,1434,cup,cilantro,4-Jan,1/4 cup chopped fresh cilantro,,
14766,8 (10 inch) flour tortillas,1434,,(10 inch) flour tortillas,8,8 (10 inch) flour tortillas,,
14767,1 tablespoon olive oil,1434,tablespoon,olive oil,1,1 tablespoon olive oil,,
14768,"1 small head cabbage, outer leaves discarded - quartered, cored, and thinly sliced",1434,head,cabbage,1,"1 small head cabbage, outer leaves discarded - quartered, cored, and thinly sliced",,
14769,"1 (15 ounce) can chickpeas, drained and rinsed",1434,ounce can,chickpeas,1,"1 (15 ounce) can chickpeas, drained and rinsed",,
14770,2 teaspoons dehydrated onion flakes,1434,teaspoon,dehydrated onion flakes,2,2 teaspoons dehydrated onion flakes,,
14771,"2 teaspoons curry powder, or more to taste",1434,teaspoon,curry powder,2,"2 teaspoons curry powder, or more to taste",,
14772,1 teaspoon bottled minced ginger,1434,teaspoon,ginger,1,1 teaspoon bottled minced ginger,,
14773,1 teaspoon ground turmeric,1434,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
14774,⅛ teaspoon garam masala,1434,teaspoon,garam masala,,1/8 teaspoon garam masala,,
14775,1 tablespoon olive oil,3115,tablespoon,olive oil,1,1 tablespoon olive oil,,
14776,"1  shallot, thinly sliced",3115,,,,"1  shallot, thinly sliced",,
14777,"3 cloves garlic, minced",3115,clove,garlic,3,"3 cloves garlic, minced",,
14778,"3 cups shiitake mushrooms, sliced",3115,cup,shiitake mushrooms,3,"3 cups shiitake mushrooms, sliced",,
14779,6 cups vegetable stock,3115,cup,vegetable stock,6,6 cups vegetable stock,,
14780,1 teaspoon ground thyme,3115,teaspoon,thyme,1,1 teaspoon ground thyme,,
14781,½ teaspoon salt,3115,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
14782,"1 cup green lentils, rinsed and drained",3115,cup,green lentils,1,"1 cup green lentils, rinsed and drained",,
14783,2 teaspoons sesame oil,3115,teaspoon,sesame oil,2,2 teaspoons sesame oil,,
14784,"2  green onions, finely chopped, or to taste",3115,,,,"2  green onions, finely chopped, or to taste",,
14785,3 tablespoons cornstarch,635,tablespoon,cornstarch,3,3 tablespoons cornstarch,,
14786,2 tablespoons water,635,tablespoon,water,2,2 tablespoons water,,
14787,1 ½ cups soy milk,635,,,,1 1/2 cups soy milk,,
14788,¼ teaspoon vanilla extract,635,teaspoon,vanilla extract,4-Jan,1/4 teaspoon vanilla extract,,
14789,¼ cup white sugar,635,cup,white sugar,4-Jan,1/4 cup white sugar,,
14790,¼ cup unsweetened cocoa powder,635,cup,cocoa powder,4-Jan,1/4 cup unsweetened cocoa powder,,
14791,5 cups water,104,cup,water,5,5 cups water,,
14792,1 ½ cups chana dal,104,,,,1 1/2 cups chana dal,,
14793,1 teaspoon ground turmeric,104,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
14794,1 teaspoon salt,104,teaspoon,salt,1,1 teaspoon salt,,
14795,1 tablespoon coconut oil,104,tablespoon,coconut oil,1,1 tablespoon coconut oil,,
14796,"1  onion, roughly chopped",104,,,,"1  onion, roughly chopped",,
14797,1 ½ tablespoons minced ginger,104,,,,1 1/2 tablespoons minced ginger,,
14798,1 tablespoon minced garlic,104,tablespoon,garlic,1,1 tablespoon minced garlic,,
14799,"2  tomatoes, roughly chopped, or more to taste",104,,,,"2  tomatoes, roughly chopped, or more to taste",,
14800,1 teaspoon cumin seeds,104,teaspoon,cumin seeds,1,1 teaspoon cumin seeds,,
14801,"½ teaspoon cayenne pepper, or less to taste  (Optional)",104,,,,"1/2 teaspoon cayenne pepper, or less to taste  (Optional)",,
14802,¼ cup water,104,cup,water,4-Jan,1/4 cup water,,
14803,¼ cup chopped cilantro  (Optional),104,,,,1/4 cup chopped cilantro  (Optional),,
14804,1 (14 ounce) package firm tofu,470,,(14 ounce) package firm tofu,1,1 (14 ounce) package firm tofu,,
14805,¼ cup lime juice,470,cup,lime juice,4-Jan,1/4 cup lime juice,,
14806,1 tablespoon olive oil,470,tablespoon,olive oil,1,1 tablespoon olive oil,,
14807,5 tablespoons chopped fresh cilantro,470,tablespoon,cilantro,5,5 tablespoons chopped fresh cilantro,,
14808,"2 cloves garlic, minced",470,clove,garlic,2,"2 cloves garlic, minced",,
14809,2 teaspoons chili powder,470,teaspoon,chili powder,2,2 teaspoons chili powder,,
14810,¼ teaspoon cayenne pepper,470,teaspoon,cayenne pepper,4-Jan,1/4 teaspoon cayenne pepper,,
14811,salt and black pepper to taste,470,,salt and black pepper,,salt and black pepper to taste,,
14812,cooking spray,2822,,cooking spray,,cooking spray,,
14813,1 cup all-purpose flour,2822,cup,all-purpose flour,1,1 cup all-purpose flour,,
14814,2 ½ teaspoons baking soda,2822,,,,2 1/2 teaspoons baking soda,,
14815,¼ teaspoon ground nutmeg,2822,teaspoon,nutmeg,4-Jan,1/4 teaspoon ground nutmeg,,
14816,¼ teaspoon salt,2822,teaspoon,salt,4-Jan,1/4 teaspoon salt,,
14817,"1 pinch ground cinnamon, or to taste",2822,pinch,ground cinnamon,1,"1 pinch ground cinnamon, or to taste",,
14818,½ cup soy milk,2822,cup,soy milk,2-Jan,1/2 cup soy milk,,
14819,¼ cup vegetable oil,2822,cup,vegetable oil,4-Jan,1/4 cup vegetable oil,,
14820,½ teaspoon apple cider vinegar,2822,teaspoon,apple cider vinegar,2-Jan,1/2 teaspoon apple cider vinegar,,
14821,½ teaspoon vanilla extract,2822,teaspoon,vanilla extract,2-Jan,1/2 teaspoon vanilla extract,,
14822,1 cup confectioners' sugar,2822,cup,confectioners' sugar,1,1 cup confectioners' sugar,,
14823,1 tablespoon soy milk,2822,tablespoon,soy milk,1,1 tablespoon soy milk,,
14824,"1 dash vanilla extract, or more to taste",2822,dash,vanilla extract,1,"1 dash vanilla extract, or more to taste",,
14825,1 ½ cups unsalted raw cashews,5,,,,1 1/2 cups unsalted raw cashews,,
14826,¼ cup nutritional yeast,5,cup,nutritional yeast,4-Jan,1/4 cup nutritional yeast,,
14827,1 ½ teaspoons kosher salt,5,,,,1 1/2 teaspoons kosher salt,,
14828,½ teaspoon garlic powder,5,teaspoon,garlic powder,2-Jan,1/2 teaspoon garlic powder,,
14829,"3  tomatoes, cut into wedges",1976,,,,"3  tomatoes, cut into wedges",,
14830,"5 cloves garlic, diced",1976,clove,garlic,5,"5 cloves garlic, diced",,
14831,"1  onion, chopped",1976,,,,"1  onion, chopped",,
14832,1 cup water,1976,cup,water,1,1 cup water,,
14833,¼ teaspoon ground black pepper,1976,teaspoon,black pepper,4-Jan,1/4 teaspoon ground black pepper,,
14834,1 dash hot pepper sauce,1976,dash,hot pepper sauce,1,1 dash hot pepper sauce,,
14835,1 teaspoon salt,1976,teaspoon,salt,1,1 teaspoon salt,,
14836,1 teaspoon hot chile sauce,1976,teaspoon,hot chile sauce,1,1 teaspoon hot chile sauce,,
14837,2 cups all-purpose flour,1200,cup,all-purpose flour,2,2 cups all-purpose flour,,
14838,¼ teaspoon salt,1200,teaspoon,salt,4-Jan,1/4 teaspoon salt,,
14839,⅔ cup water,1200,cup,water,,2/3 cup water,,
14840,¼ cup white sugar,1200,cup,white sugar,4-Jan,1/4 cup white sugar,,
14841,1 tablespoon vegetable oil,1200,tablespoon,vegetable oil,1,1 tablespoon vegetable oil,,
14842,6 pounds roma (plum) tomatoes,2006,pound,roma tomatoes,6,6 pounds roma (plum) tomatoes,,
14843,"¼ pound roma (plum) tomatoes, chopped",2006,pound,roma tomatoes,4-Jan,"1/4 pound roma (plum) tomatoes, chopped",,
14844,2 tablespoons garlic powder,2006,tablespoon,garlic powder,2,2 tablespoons garlic powder,,
14845,¼ cup lemon juice,2006,cup,lemon juice,4-Jan,1/4 cup lemon juice,,
14846,1 ½ tablespoons salt,2006,,,,1 1/2 tablespoons salt,,
14847,1 tablespoon ground cayenne pepper,2006,tablespoon,cayenne pepper,1,1 tablespoon ground cayenne pepper,,
14848,1 ½ teaspoons ground cumin,2006,,,,1 1/2 teaspoons ground cumin,,
14849,"1  red onion, chopped",2006,,,,"1  red onion, chopped",,
14850,"1  white onion, chopped",2006,,,,"1  white onion, chopped",,
14851,"1  yellow onion, chopped",2006,,,,"1  yellow onion, chopped",,
14852,"1 pound jalapeno peppers, chopped",2006,pound,jalapeno peppers,1,"1 pound jalapeno peppers, chopped",,
14853,"⅓ bunch fresh cilantro, chopped",2006,bunch,cilantro,,"1/3 bunch fresh cilantro, chopped",,
14854,"1  frozen banana, cut into chunks",2243,,,,"1  frozen banana, cut into chunks",,
14855,"1 cup strawberries, chopped",2243,cup,strawberries,1,"1 cup strawberries, chopped",,
14856,½ tablespoon unsweetened coconut flakes,2243,tablespoon,coconut flakes,2-Jan,1/2 tablespoon unsweetened coconut flakes,,
14857,1 teaspoon chia seeds,2243,teaspoon,chia seeds,1,1 teaspoon chia seeds,,
14858,"¼  banana, sliced",2243,,,,"1/4  banana, sliced",,
14859,"2  strawberries, chopped",2243,,,,"2  strawberries, chopped",,
14860,2 tablespoons fresh blueberries,2243,tablespoon,blueberries,2,2 tablespoons fresh blueberries,,
